Rule,Number_of_Cases,Empirical_Risk_MIMICII,Physician_Assessment,Physician_SD
'Glasgow Coma Scale(2.00(1.00-4.00));Age(57.83(16.01-73.47));Bilirubin(0.80(0.00-1.31));PaO2/FiO2(332.60(222.00-2085.71))',6705,0.062490679,3.384615385,0.869718493
'Serum urea nitrogen(15.00(2.00-23.00));PaO2/FiO2(332.60(223.68-1942.86));Glasgow Coma Scale(5.00(4.00-5.00))',6560,0.026676829,2.538461538,0.877058019
"'Glasgow Coma Scale(1.00(1.00-2.00));Renal function(1(1,2,3,4))'",3510,0.301139601,4.307692308,1.182131929
"'Renal function(0(0,1));PaO2/FiO2(332.60(318.00-336.36));Age(62.63(16.28-89.49))'",11074,0.040274517,2.923076923,0.640512615
'PaO2/FiO2(332.60(224.00-2223.81));Glasgow Coma Scale(5.00(3.00-5.00));Age(82.32(76.24-101.45));Renal function(0(0))',1879,0.051623204,3.230769231,0.926808696
'PaO2/FiO2(332.60(316.67-2223.81));Age(79.07(69.27-105.34));WBC(13.00(9.30-678.00))',4348,0.150183993,3.615384615,0.650443636
"'Renal function(2(2,3,4));PaO2/FiO2(332.60(327.78-2037.50));Age(79.52(69.89-105.34))'",1318,0.247344461,3.846153846,0.898717034
'PaO2/FiO2(332.60(222.00-342.00));Serum urea nitrogen(14.00(2.00-21.00))',8654,0.041830367,3,0.40824829
'Age(83.83(79.27-102.14));PaO2/FiO2(131.67(17.00-317.50))',1295,0.399227799,4.615384615,1.120897077
'Serum urea nitrogen(40.00(27.00-179.00));Blood Pressure(118.13(107.00-210.00));Age(87.95(84.05-105.34))',1155,0.264069264,3.923076923,1.037749043
'''PaO2/FiO2(332.60(316.00-1942.86));Glasgow Coma Scale(2.00(1.00-4.00));Age(56.17(16.01-73.65));Serum urea nitrogen(14.00(2.00-23....'' <Preview truncated at 128 characters>',5060,0.046442688,3.230769231,0.832050294
'PaO2/FiO2(332.60(318.57-920.00));Age(92.07(89.77-102.18));Renal function(0(0))',246,0.24796748,3.846153846,1.14354375
"'Age(91.65(89.29-102.18));Renal function(0(0,1));PaO2/FiO2(332.60(318.57-920.00))'",446,0.237668161,3.769230769,1.3634421
'Bilirubin(1.31(1.30-1.31));PaO2/FiO2(332.60(316.00-2376.19));Age(54.49(16.01-70.18))',4509,0.014859171,2.307692308,0.751067616
'PaO2/FiO2(122.25(11.00-272.09));Serum urea nitrogen(49.00(33.00-272.00))',1707,0.370826011,4.384615385,1.120897077
'PaO2/FiO2(332.60(319.05-1152.50));Glasgow Coma Scale(5.00(5.00-5.00));Age(80.70(73.68-102.18))',2239,0.052255471,3.230769231,0.832050294
'''Heart Rate(84.00(0.00-113.00));Glasgow Coma Scale(5.00(3.00-5.00));Serum urea nitrogen(15.00(2.00-22.00));PaO2/FiO2(332.60(318.0...'' <Preview truncated at 128 characters>',6391,0.020028165,2.307692308,1.031553471
"'Age(90.29(87.27-105.34));Renal function(1(1,2,3,4));PaO2/FiO2(332.60(325.71-1192.50))'",490,0.285714286,4,1
'Heart Rate(83.00(0.00-105.00));Age(62.45(16.28-89.77));Renal function(0(0));PaO2/FiO2(332.60(318.00-2223.81))',10424,0.03894858,2.692307692,0.630425172
"'Renal function(4(3,4));Glasgow Coma Scale(2.00(1.00-4.00))'",1767,0.380305603,4.384615385,1.120897077
'Serum urea nitrogen(40.00(26.80-201.00));Glasgow Coma Scale(2.00(1.00-3.00))',3618,0.295743505,4,1.08012345
'Serum urea nitrogen(49.00(33.00-272.00));PaO2/FiO2(134.00(11.00-315.00))',1911,0.362114076,4.307692308,1.109400392
'PaO2/FiO2(121.00(17.00-272.09));Age(83.51(78.53-102.14))',1260,0.401587302,4.461538462,1.126601424
'Renal function(0(0));PaO2/FiO2(332.60(332.60-1836.67));Age(58.39(17.59-79.63));WBC(37.90(31.80-326.00))',98,0.214285714,3.615384615,1.192927878
'Age(83.99(78.48-102.18));PaO2/FiO2(332.60(320.00-2223.81));Glasgow Coma Scale(5.00(4.00-5.00))',2239,0.075480125,3.307692308,0.947330933
'PaO2/FiO2(332.60(316.00-2304.76));Age(78.65(69.27-101.28));WBC(7.10(0.10-9.20))',3279,0.076852699,3.307692308,0.751067616
"'Renal function(3(2,3,4));Serum urea nitrogen(17.00(4.00-24.00))'",915,0.249180328,3.692307692,0.854850414
'Glasgow Coma Scale(5.00(3.00-5.00));Age(59.29(16.28-80.15));Bilirubin(1.10(0.00-1.60));PaO2/FiO2(332.60(327.50-2376.19))',9066,0.031987646,2.307692308,0.947330933
'Age(82.81(76.57-101.28));WBC(7.80(0.40-10.70));PaO2/FiO2(332.60(320.00-1180.00));Glasgow Coma Scale(5.00(3.00-5.00))',1787,0.057078903,3.230769231,0.926808696
'PaO2/FiO2(332.60(222.00-2076.19));Age(54.87(16.01-72.66));Renal function(0(0))',9393,0.038007027,2.538461538,0.967417922
"'Serum urea nitrogen(15.00(2.00-24.00));Renal function(0(0,1));Glasgow Coma Scale(5.00(3.00-5.00));WBC(10.20(3.30-678.00))'",8249,0.039156261,2.615384615,0.960768923
"'Age(84.24(79.36-101.45));Renal function(0(0,1));PaO2/FiO2(332.60(248.00-2223.81));Glasgow Coma Scale(5.00(4.00-5.00))'",1694,0.056670602,3.153846154,0.898717034
'PaO2/FiO2(131.67(17.00-317.50));Age(82.48(76.65-102.14))',1708,0.368852459,4.230769231,1.165750556
'PaO2/FiO2(332.60(238.33-1828.57));Age(78.95(71.49-99.35));WBC(8.30(0.40-12.60));Serum urea nitrogen(17.00(4.00-23.00))',2539,0.070500197,3.230769231,1.012739367
"'Renal function(2(2,3,4));Glasgow Coma Scale(2.00(1.00-3.00))'",2073,0.379643029,4.307692308,1.109400392
'''Glasgow Coma Scale(5.00(3.00-5.00));Serum urea nitrogen(15.00(2.00-23.00));PaO2/FiO2(332.60(316.00-1828.57));Heart Rate(80.00(0....'' <Preview truncated at 128 characters>',5430,0.016390424,2.153846154,0.898717034
"'Renal function(2(2,3,4));Glasgow Coma Scale(1.00(1.00-2.00))'",1645,0.402431611,4.384615385,1.120897077
'PaO2/FiO2(349.81(318.00-1594.00));Glasgow Coma Scale(1.00(1.00-3.00));Age(56.54(19.10-75.61));Bilirubin(2.60(1.40-82.80))',515,0.20776699,3.538461538,1.126601424
'PaO2/FiO2(131.67(17.00-315.00));Age(83.84(79.27-102.14))',1291,0.399690163,4.363636364,1.206045378
'Age(56.21(16.28-74.50));Bilirubin(1.10(0.00-3.90));PaO2/FiO2(332.60(327.50-337.50))',9049,0.034257929,2.384615385,0.869718493
'Serum urea nitrogen(13.00(2.00-18.00));PaO2/FiO2(332.60(318.00-1942.86));Age(54.88(16.01-77.62))',7816,0.034416581,2.384615385,0.869718493
'Age(78.83(71.49-95.45));WBC(15.80(12.70-678.00));Serum urea nitrogen(17.00(3.00-23.00));PaO2/FiO2(332.60(240.00-1880.95))',941,0.159404888,3.461538462,0.967417922
'Blood Pressure(89.00(0.00-104.00));Serum urea nitrogen(40.00(27.00-166.00));PaO2/FiO2(332.60(318.00-2037.50))',594,0.287878788,3.846153846,0.987096234
'Heart Rate(80.00(0.00-92.00));Serum urea nitrogen(15.00(2.00-22.00));PaO2/FiO2(332.60(293.00-1942.86))',7852,0.036169129,2.384615385,0.869718493
"'Renal function(4(3,4));Glasgow Coma Scale(2.00(1.00-3.00))'",1266,0.438388626,4.384615385,1.192927878
'Age(62.74(16.01-83.56));Bilirubin(1.31(1.31-1.31));PaO2/FiO2(463.00(336.00-2376.19))',1516,0.047493404,2.769230769,0.832050294
'Renal function(0(0));PaO2/FiO2(332.60(314.00-2223.81));Age(81.50(74.80-102.18));WBC(13.00(9.60-326.00))',1694,0.12987013,3.307692308,1.031553471
'K(4.20(3.50-10.00));PaO2/FiO2(332.60(318.00-2376.19));Age(58.49(16.01-76.52));Bilirubin(0.90(0.00-1.31))',11015,0.041488879,2.538461538,1.050030525
'PaO2/FiO2(332.60(332.60-1317.50));Age(49.97(17.42-69.40));Bilirubin(8.70(4.70-82.80))',303,0.260726073,3.692307692,0.854850414
'Glasgow Coma Scale(2.00(1.00-2.00));Age(89.27(86.28-105.34));PaO2/FiO2(332.60(318.00-1192.50))',396,0.414141414,4.307692308,1.182131929
'Age(62.68(16.28-86.82));Bilirubin(1.00(0.00-1.40));PaO2/FiO2(332.60(230.00-2376.19));Glasgow Coma Scale(5.00(3.00-5.00))',10807,0.040806884,2.538461538,0.776250026
"'PaO2/FiO2(132.68(11.00-315.00));Renal function(2(2,3,4))'",1602,0.399500624,4.230769231,1.091928428
'''PaO2/FiO2(332.60(320.00-1067.50));Heart Rate(81.00(51.00-104.00));Age(92.16(89.77-102.18));Serum urea nitrogen(20.00(10.00-26.00...'' <Preview truncated at 128 characters>',164,0.304878049,3.846153846,1.344504484
'PaO2/FiO2(332.60(272.09-2376.19));Heart Rate(81.00(0.00-101.00));Glasgow Coma Scale(5.00(5.00-5.00))',6469,0.031998763,2.153846154,1.068188018
'Age(51.06(17.42-73.31));Bilirubin(8.70(4.70-82.80));PaO2/FiO2(332.60(332.60-1317.50))',322,0.263975155,3.615384615,0.650443636
'Heart Rate(84.00(0.00-112.00));Glasgow Coma Scale(5.00(4.00-5.00));PaO2/FiO2(332.60(316.00-2376.19))',9475,0.041688654,2.461538462,0.967417922
'Heart Rate(83.00(0.00-106.00));Age(61.11(16.28-79.75));Bilirubin(1.00(0.00-1.50));PaO2/FiO2(332.60(316.00-2376.19))',11823,0.041782965,2.461538462,0.776250026
'PaO2/FiO2(131.33(17.00-315.00));Age(83.86(79.35-102.14))',1282,0.400936037,4.153846154,1.28102523
"'Age(52.62(16.01-67.42));Bilirubin(1.00(0.00-1.31));Renal function(0(0,1));PaO2/FiO2(332.60(212.50-1942.86))'",8549,0.035325769,2.230769231,0.725011052
'PaO2/FiO2(332.60(223.68-2076.19));Serum urea nitrogen(15.00(2.00-26.00));Renal function(0(0))',11496,0.046276966,2.615384615,0.767947648
'Heart Rate(123.00(115.00-179.00));Renal function(0(0));PaO2/FiO2(332.60(316.00-1853.33))',993,0.111782477,3.230769231,0.926808696
'Renal function(0(0));PaO2/FiO2(332.60(328.00-1836.67));Age(53.24(17.59-79.63));WBC(28.60(24.30-326.00))',314,0.121019108,3.230769231,1.091928428
'''Glasgow Coma Scale(5.00(3.00-5.00));Bilirubin(0.80(0.00-1.31));Serum urea nitrogen(31.00(20.00-274.00));PaO2/FiO2(332.60(172.50-...'' <Preview truncated at 128 characters>',5954,0.073563991,2.923076923,0.862316499
'Glasgow Coma Scale(5.00(5.00-5.00));WBC(9.70(0.10-23.20));PaO2/FiO2(332.60(187.50-2376.19))',7927,0.038728397,2.230769231,1.012739367
"'Renal function(3(3,4));PaO2/FiO2(131.67(11.00-315.00))'",960,0.447916667,4.230769231,1.091928428
'PaO2/FiO2(332.60(332.60-1317.50));Age(49.97(17.42-69.40));Bilirubin(8.70(4.70-82.80))',303,0.260726073,3.538461538,0.776250026
'Age(54.38(16.01-73.83));Serum urea nitrogen(14.00(2.00-21.00));PaO2/FiO2(332.60(228.33-1942.86))',8965,0.037479085,2.153846154,0.688737232
'Bilirubin(7.05(3.70-39.40));Renal function(0(0));Age(50.35(18.93-78.95))',345,0.255072464,3.461538462,0.967417922
"'Blood Pressure(118.13(105.00-237.00));Glasgow Coma Scale(5.00(4.00-5.00));Renal function(1(1,2,3,4))'",4031,0.097494418,2.923076923,0.862316499
'Bilirubin(2.90(1.50-82.80));Serum urea nitrogen(41.00(25.00-248.00))',1133,0.375992939,3.846153846,0.800640769
"'PaO2/FiO2(332.60(273.00-2037.50));Blood Pressure(86.00(0.00-100.00));Renal function(1(1,2,3,4))'",730,0.301369863,3.692307692,1.031553471
"'Heart Rate(116.00(107.00-196.00));Renal function(1(1,2,3,4));PaO2/FiO2(332.60(319.05-1876.19))'",888,0.225225225,3.384615385,0.960768923
"'Glasgow Coma Scale(5.00(3.00-5.00));Bilirubin(0.70(0.00-1.31));Renal function(1(1,2,3,4))'",4608,0.108289931,3,0.707106781
"'Renal function(1(1,2,3,4));Blood Pressure(118.13(106.00-260.00));Age(85.32(80.67-105.34))'",1672,0.255980861,3.461538462,0.967417922
'Heart Rate(86.00(0.00-119.00));Age(57.36(16.28-74.50));Bilirubin(1.10(0.00-3.90));PaO2/FiO2(332.60(327.78-2376.19))',11484,0.040316963,2.230769231,0.926808696
"'Serum urea nitrogen(15.00(4.00-24.00));Renal function(0(0,1));Glasgow Coma Scale(5.00(3.00-5.00));WBC(2.10(0.10-3.20))'",246,0.166666667,3.230769231,0.725011052
'''PaO2/FiO2(332.60(290.48-1425.71));Heart Rate(129.00(122.00-196.00));Glasgow Coma Scale(5.00(3.00-5.00));Bilirubin(0.70(0.10-1.31...'' <Preview truncated at 128 characters>',468,0.108974359,2.923076923,0.759554525
'Heart Rate(137.00(129.00-196.00));Age(50.72(18.35-71.96));Bilirubin(0.70(0.10-1.40));PaO2/FiO2(332.60(320.00-1425.71))',275,0.181818182,3.230769231,1.012739367
'Serum urea nitrogen(43.00(27.00-248.00));Glasgow Coma Scale(5.00(3.00-5.00));Bilirubin(2.50(1.40-48.00))',669,0.31838565,3.615384615,0.650443636
'K(3.20(1.60-3.30));Renal function(0(0));PaO2/FiO2(332.60(317.35-1676.19))',985,0.097461929,2.769230769,0.832050294
'Age(59.60(16.28-79.67));Renal function(0(0));Heart Rate(84.00(0.00-102.00))',10367,0.04832642,2.307692308,0.947330933
"'Heart Rate(83.00(0.00-102.00));Age(59.14(16.28-79.30));Serum urea nitrogen(15.00(2.00-26.00));Renal function(0(0,1))'",10404,0.044694348,2.153846154,0.800640769
"'Glasgow Coma Scale(5.00(3.00-5.00));Bilirubin(0.70(0.00-1.80));Renal function(1(1,2,3,4))'",4818,0.111872146,2.769230769,0.832050294
'Glasgow Coma Scale(5.00(4.00-5.00));Serum urea nitrogen(41.00(27.00-274.00));Blood Pressure(118.13(109.00-237.00))',3852,0.104101765,2.615384615,0.650443636
"'Blood Pressure(87.00(0.00-104.00));Glasgow Coma Scale(5.00(4.00-5.00));Renal function(1(1,2,3,4))'",427,0.297423888,3.461538462,0.660225292
'Blood Pressure(91.00(0.00-106.00));Serum urea nitrogen(42.00(27.00-272.00))',1392,0.354885057,3.538461538,1.198289379
"'Blood Pressure(86.00(0.00-101.00));Renal function(1(1,2,3,4))'",1438,0.365785814,3.583333333,1.164500153
"'PaO2/FiO2(332.60(327.50-1575.00));Age(56.21(17.42-74.52));Bilirubin(3.50(1.60-82.80));Renal function(1(1,2,3,4))'",450,0.271111111,3.384615385,0.767947648
'Bilirubin(2.80(1.40-59.70));PaO2/FiO2(130.00(20.00-315.00))',984,0.417682927,3.769230769,1.3634421
'Serum urea nitrogen(28.00(23.00-151.00));Renal function(0(0))',3561,0.137320977,2.769230769,0.832050294
'Bilirubin(1.20(0.00-3.60));Renal function(0(0));Age(58.30(16.01-79.37))',12772,0.058487316,2.307692308,1.031553471
'Age(50.51(18.35-74.17));Bilirubin(0.80(0.10-4.60));PaO2/FiO2(332.60(317.50-1425.71));Heart Rate(137.00(129.00-196.00))',329,0.194528875,3.153846154,0.688737232
'Age(56.30(16.28-76.45));Bilirubin(0.80(0.10-1.31));K(3.20(1.60-3.40));PaO2/FiO2(332.60(318.00-1676.19))',1180,0.075423729,2.384615385,0.960768923
"'Renal function(1(1,2,3,4));Blood Pressure(90.00(0.00-105.00))'",1703,0.346447446,3.461538462,1.126601424
'Glasgow Coma Scale(5.00(3.00-5.00));Bilirubin(2.70(1.50-48.00));Serum urea nitrogen(35.00(20.00-248.00))',860,0.276744186,3.307692308,0.751067616
'Glasgow Coma Scale(5.00(4.00-5.00));Serum urea nitrogen(44.00(27.00-272.00));Blood Pressure(91.00(0.00-108.00))',441,0.31292517,3.384615385,0.650443636
'PaO2/FiO2(496.53(342.31-1942.86));Heart Rate(117.00(107.00-171.00));Serum urea nitrogen(13.00(2.00-21.00))',411,0.182481752,2.846153846,0.554700196
'PaO2/FiO2(122.93(20.00-271.43));Age(53.75(18.34-78.42));Bilirubin(3.60(1.60-59.70))',658,0.449848024,3.692307692,1.031553471
"'Glasgow Coma Scale(5.00(3.00-5.00));Bilirubin(4.00(1.90-48.00));Renal function(1(1,2,3,4))'",499,0.332665331,3.230769231,0.832050294
"'Renal function(0(0,1));PaO2/FiO2(470.00(336.67-2304.76))'",4126,0.105913718,2.076923077,0.640512615
